,MH
661,-0.34
901,-0.95999998
1420,-0.09000000400000001
1631,-0.47
2589,-0.19
3178,-0.5
3325,-0.47
3584,-0.55000001
3586,-0.85000002
3643,-0.12
3652,-0.27000001
3930,-0.039999999
3950,-0.25999999
3997,0.0
4081,0.0099999998
4090,-0.16
4207,-1.1900001
4357,-0.73000002
4473,-0.41
4730,-0.75
4866,-0.89807397
4997,-0.60000002
5087,-0.23
5334,-1.28
5353,-0.62
5532,-0.51999998
5654,0.0
6027,-0.38999999
6045,-0.09000000400000001
6568,-0.50999999
7205,-0.21213099
7291,-0.52999997
7450,-0.31999999
7502,-0.98000002
7932,-0.56999999
7971,0.050000000999999995
8005,-1.15
9164,-0.31
9188,0.18000001
9365,-0.68558598
9405,-0.37
9698,-0.37
9898,-0.34999999
10001,-1.24
10407,-0.059999999000000005
11122,0.09000000400000001
12365,-0.70999998
12676,-0.69999999
12923,-0.44999999
13028,-0.40000001
13187,-0.69999999
13988,-0.685
14866,-0.74000001
15130,-0.87
15395,-0.34999999
15470,0.23999999
15596,-0.60000002
16257,-0.69
16929,-0.89999998
17065,0.13
17632,-0.28
17747,-0.1
17922,-1.22
18632,0.0
18927,-0.75
19020,-0.75999999
19515,-0.46000001
20514,0.0
20630,-0.44999999
21265,-0.31
21554,-0.23
21975,-0.50999999
22239,-0.25
22472,-0.54000002
22705,-0.56999999
22877,-0.49000001
23565,-0.47
23813,-0.28999999
24110,-0.93000001
24629,-0.23
24688,-0.47
25293,-0.52999997
26503,-0.94999999
26831,-0.15000001
26910,-0.050000000999999995
27789,-0.37
28539,-0.059999999000000005
29203,-1.16
29404,-0.039999999
30052,0.02
30535,-0.44999999
30742,-0.81999999
30838,-1.0700001000000001
30980,-1.0
31200,-0.87
31214,-0.19
31220,-0.11
31259,0.1
31454,-0.33000001
31713,0.09000000400000001
31897,-0.44999999
32654,-0.51999998
32924,0.27000001
33388,-0.27000001
33416,-0.81999999
33796,-0.61000001
34248,-0.039999999
34455,-0.2
34654,0.0
35246,-1.11
35419,-0.18000001
35569,-1.1
35681,-0.2
36163,-0.33000001
36296,-0.25
36609,-1.09
36677,0.059999999000000005
37115,-0.52999997
37216,-0.34999999
37283,-0.12
38149,0.0099999998
38315,0.11
38557,-0.86000001
38821,-0.41
38988,-0.95999998
39429,-0.029999999
39598,-0.20999999
39819,-0.25
40288,-1.0599999
40727,-0.76999998
40802,0.079999998
41322,-0.57999998
41632,-1.0700001000000001
41744,-0.029999999
41832,0.23
41895,-0.15000001
42043,-0.68000001
42408,-1.02
43236,-0.30000001
43715,-0.02
43906,-0.51999998
43923,-0.51999998
43929,-0.17
44599,0.059999999000000005
45205,-0.25999999
45394,-0.40000001
45907,-0.72000003
45990,-0.07
46254,-0.19
46534,-0.5
47049,0.039999999
48315,-1.08
48428,-2.72
48466,-0.62
48933,-0.36000001
49070,-0.55973601
49477,-0.47999999
49737,-0.27000001
49761,-1.23
49971,-0.77999997
51102,-0.41999999
52344,-0.94999999
52693,-1.03
52833,-0.86000001
52904,-1.01
53250,-0.44999999
53622,-0.28
53928,-0.34999999
53958,-0.41
54133,-1.09
54400,-0.74000001
54586,-0.34999999
54783,-0.38999999
54824,-0.41999999
55123,-0.28999999
55342,-0.75
55739,-1.27
55941,0.1
56593,-0.63339901
57303,-0.62
57506,-0.28
57619,0.25999999
59079,-0.73000002
60378,-1.05
60772,-0.54500002
60804,-0.145
61952,-0.66000003
61964,-0.81999999
62824,0.0
63525,0.0
63622,-0.63999999
64374,-0.62
64434,-0.36000001
65404,-0.43434501
65889,-0.74000001
66702,-0.11
66833,0.029999999
66838,-0.059999999000000005
66940,-0.70999998
67432,-0.57999998
67703,-0.11
68760,-1.21
68985,-0.87
69458,-0.51999998
70141,-0.36000001
70744,-0.38999999
71011,-0.02
72445,-0.34
72812,0.12
73512,-0.69999999
74703,-0.09000000400000001
74923,-0.11
75270,-0.76999998
76732,-0.37
76767,-1.04
76864,-0.25999999
77988,-1.28
78276,-1.38
78455,0.25
78965,-0.16
79267,-0.23999999
80032,-1.22
80521,-0.40000001
80873,-0.51999998
83893,-0.77999997
84152,-0.46000001
84765,-0.885382
85029,0.079999998
85244,-0.71499997
85646,-0.059999999000000005
86300,-0.34
86316,-0.0099999998
86607,-0.56
87020,-0.33000001
87482,-0.5
181,-0.28999999
404,-0.72000003
1859,-0.56
2291,-0.25999999
2401,-0.88
2403,-0.20999999
2482,-0.17
2945,-0.19
2946,-1.34
3370,-0.56999999
3607,-0.31
4201,-1.05
4831,-0.56999999
4867,-0.050000000999999995
6053,-1.1
6267,-0.31
6718,-0.34999999
6735,-0.68000001
6923,-1.35
6960,-0.34999999
7605,-0.81999999
8525,-0.5
8726,-0.28
8781,0.0
8824,-0.50999999
9727,0.17
10105,-0.79000002
10686,-0.23999999
10762,-0.44
11060,-0.15000001
11659,-0.31999999
11742,-0.1
12207,-0.69999999
13066,-0.41
13079,-0.09000000400000001
13093,-0.36000001
13130,-0.96532398
13253,0.25
13617,-0.07
13749,-0.43000001
13760,-0.41999999
13797,0.17384601
13875,-1.0575700000000001
14033,-0.56
14314,-1.21
14345,-0.34999999
14491,0.16
14646,-0.86000001
14815,-0.25
15082,-0.23
15373,0.0
15962,-0.52999997
16166,-0.80000001
16251,-0.62
16497,-0.30000001
16625,-0.47999999
