,ID,Teff,logg,MH
45,12434273,5647.0,4.6013799,
92,12434381,5002.0,4.6320901,
102,12434410,6004.0,4.5352402000000005,
110,12434424,5562.0,3.5539899,
206,12436056,6285.0,4.1390400000000005,
208,12436058,6132.0,4.4408698,
242,12436092,5306.0,4.6909399,
244,12436094,5732.0,4.2329102,
284,12469572,6279.0,4.3154802000000005,
327,12469615,5452.0,4.6348701,
358,12469646,5750.0,4.53335,
413,12469701,6500.0,4.0639801,
432,12469720,5134.0,4.6599998,
450,12469738,5579.0,4.3723998,
561,12470622,4907.0,4.5601602,
580,12470641,4389.0,4.6311498,
608,12470669,6478.0,4.122320200000001,
641,12470702,4974.0,4.4339699999999995,
661,12470722,5550.1001,4.13445,-0.34
755,12470816,6283.0,4.1728201,
780,12470841,8163.0,3.7204498999999998,
797,12470858,5911.0,4.2644401,
849,12470910,5967.0,4.3569899,
882,246858449,5447.0,4.2074699,
895,246858462,5777.0,3.9001801,
901,246858468,5883.2998,4.04425,-0.95999998
913,246858480,5905.0,4.462039900000001,
925,246858492,5847.0,4.442740000000001,
1002,246858569,5500.0,4.2606802,
1048,246858615,6054.0,3.9573099999999997,
1079,246858646,5986.0,4.381410099999999,
1083,246858650,6174.0,4.298170099999999,
1089,246858656,5949.0,4.4786401,
1117,246858684,5777.0,4.4288101,
1222,246858821,6263.0,4.305520099999999,
1231,246858836,10210.0,4.2532301,
1267,246858890,5599.0,4.6127500999999995,
1299,246858938,6011.0,4.4619197999999995,
1420,251826116,6187.3999,3.9463501000000005,-0.09000000400000001
1431,251828261,5782.0,4.4186001,
1438,251828268,5891.0,4.1377902,
1619,12470947,6080.0,3.49704,
1629,12470948,5685.0,4.5586901,
1635,12470954,6182.0,4.435229799999999,
1741,12471004,6026.0,4.40131,
2205,12472633,6987.0,4.393619999999999,
2366,12377525,5933.0,4.2374000999999994,
2527,270481553,5892.0,4.3756199,
2548,12472770,5755.0,4.563769799999999,
2551,12377601,5182.0,4.6527801,
2589,270481556,6286.5,4.0479999,-0.19
2592,270481559,5906.0,4.4639902000000005,
2599,12472784,5769.0,4.1882801,
2615,12377641,5749.0,4.51265,
2666,12472798,5344.0,4.1732898,
2673,313888388,5398.0,4.2274899,
2675,313888390,5695.0,4.5630002,
2696,12472805,6086.0,3.9668400000000004,
2698,12472807,5230.0,4.5862598,
2804,12377701,5585.0,3.9942,
2899,12377749,5371.0,4.566820099999999,
3004,12472885,6160.0,4.3046498,
3068,12377827,5083.0,4.5148401,
3120,12377842,4853.0,4.56637,
3178,12472915,5761.8999,4.0848298,-0.5
3206,12377867,6636.0,4.410220099999999,
3217,313888533,4887.0,4.5272597999999995,
3258,12377875,6061.0,4.0853801,
3325,12377891,5739.8999,4.177529799999999,-0.47
3356,12377900,4877.0,4.62075,
3400,313888577,5273.0,3.8171501000000005,
3448,12377924,11039.0,4.2463899000000005,
3466,12472987,5677.0,4.056029799999999,
3519,313888604,5551.0,3.95855,
3532,12473007,6083.0,4.5563898,
3533,12377939,5758.0,4.154550100000001,
3534,12377940,9772.0,4.0352201,
3536,12377942,5220.0,4.6311898000000005,
3556,12473008,6005.0,4.58676,
3586,12377954,5929.8999,4.129059799999999,-0.85000002
3643,12377972,5589.1001,4.01405,-0.12
3652,12473022,5642.2998,4.3847399000000005,-0.27000001
3748,12377994,5975.0,4.6126399000000005,
3757,12358751,5471.0,4.6514101,
3794,313888669,5892.0,3.7674799,
3859,313888683,5081.0,4.4987702,
3875,12358772,6701.0,4.1382198,
3930,12378027,6513.2998,4.2382398,-0.039999999
3938,12473069,6417.0,4.2236199,
3950,12358787,5510.1201,3.9134099,-0.25999999
3979,313888707,5860.0,4.56953,
3997,12358795,5275.1401,4.5865998,0.0
4015,12378043,5679.0,4.483620200000001,
4037,12358805,3958.0,4.6192002,
4081,12358811,6885.8999,4.0506701000000005,0.0099999998
4090,12473095,5860.1001,4.0022998,-0.16
4101,12378055,5991.0,4.356490099999999,
4121,12358815,5588.0,4.01508,
4207,12378073,5332.1001,4.10254,-1.1900001
4266,313890433,6207.0,4.540019999999999,
4284,12473126,5626.0,4.54566,
4306,409136265,5000.0,4.7046399,
4322,12358853,6054.0,3.9892498999999995,
4329,12473134,5883.0,4.30516,
4335,12378096,6055.0,4.5745001,
4357,12358858,5428.5,3.85549,-0.73000002
4365,409136273,5727.0,3.9833901,
4386,313890479,4951.0,4.563129900000001,
4410,12473149,5362.0,4.5110698,
4435,12358876,5731.0,4.0819998,
4467,313890510,4757.0,4.59621,
4473,12358878,5573.7998,4.3638902,-0.41
4507,12378128,5627.0,4.35005,
4513,313890526,4857.0,4.7221599,
4520,12358888,5574.0,4.5351,
4538,409136297,6359.0,4.4808601999999995,
4543,12473170,6966.0,3.799,
4563,12358894,7383.0,4.2076602,
4603,12358904,6740.0,4.065750100000001,
4645,12473183,6261.0,4.2003198,
4687,313890580,5899.0,4.5522799,
4798,12473204,5462.0,4.142580000000001,
4830,327995795,5083.0,4.6337399,
4866,12358939,5352.71,3.8148400999999996,-0.89807397
4982,327995815,5980.0,4.3652802,
5010,313890689,6122.0,4.3783998,
5056,313890693,5651.0,4.5410699999999995,
5082,327995828,6302.0,4.3367801,
5087,12358970,5965.2998,4.0125798999999995,-0.23
5106,313890705,5914.0,3.9758899,
5131,327995833,5362.0,4.24296,
5136,12358975,5102.0,4.6063299,
5155,409136366,4778.0,4.6034002,
5156,409136367,4109.0,4.6066599,
5185,327995844,6713.0,4.0983701,
5201,313890734,6052.0,4.1182498999999995,
5301,327995857,6338.0,4.1100502,
5332,12359003,5700.0,4.5249901,
5342,12509270,5485.0,4.6377802,
5348,308187953,6223.0,4.3315301,
5353,12509274,6062.3999,3.6853800000000003,-0.62
5387,313890786,6806.0,4.250070099999999,
5393,12393666,6309.0,3.9753101,
5410,12473284,5912.0,4.53616,
